secteur,taille,localisation,anciennete_annees,nb_employes,chiffre_affaires,nb_transactions_mois,montant_moyen_transaction,pct_cash,pct_mobile_money,pct_banque,diversification_paiement,pct_transactions_usd,charges_exploitation,resultat_net,marge_nette,solde_caisse_moyen,entrees_tresorerie_mois,sorties_tresorerie_mois,flux_tresorerie_net,remboursements_dettes_mois,variabilite_ca,ratio_liquidite,ratio_endettement,couverture_dette,nb_retards_paiement_12m,jours_retard_moyen,nb_factures_impayees,taux_recouvrement_creances,delai_paiement_fournisseurs,delai_recouvrement_jours,creances_sur_ca,regularite_paiement_mobile,regularite_paiement_fournisseurs,pct_activite_informelle,ecart_taux_change,appartenance_association,score_reseau_communautaire,pct_clients_recurrents,score_reputation_terrain,part_credit_informel,exposition_zones_instables,diversification_activites,stock_securite_jours,score_debrouillardise,usage_whatsapp_business,social_media_abonnes,social_media_sentiment,social_media_freq_publication,conso_energie_kwh,tendance_energie,conso_eau_m3,trafic_web_mensuel,nb_avis_en_ligne,note_avis_moyenne,regularite_paiement_energie,regularite_paiement_eau,regularite_paiement_loyer,default
Agriculture,Micro,Lubumbashi,3.5,3,99000702.0,75,110001.0,0.8428,0.1542,0.003,0.2659,0.4714,85950435.0,13050267.0,0.1318,12649920.0,7653810.0,7087584.0,566226.0,1215127.0,0.1407,1.32,1.29,0.18,1,39.0,7,0.5413,42.0,22.0,0.6985,0.6232,0.5864,0.6729,0.0437,0,0.8496,0.6435,0.4957,0.5906,0.0806,0.6166,6.0,0.4389,1,2578.0,0.4995,7,845.0,0.0518,23.0,222.0,6,3.0,0.7422,0.7568,0.7192,0
TIC,Micro,Lubumbashi,6.9,11,2993911.0,84,2970.0,0.7885,0.2108,0.0007,0.3338,0.4975,1747764.0,1246147.0,0.4162,72752.0,227609.0,225367.0,2242.0,25852.0,0.473,0.44,0.89,1.88,4,33.0,2,0.6748,27.0,73.0,0.5057,0.7608,0.211,0.7912,0.0055,1,0.6706,0.6923,0.535,0.294,0.3338,0.5412,3.0,0.555,0,33.0,0.3354,8,165.0,-0.1553,5.0,35.0,9,2.9,0.6243,0.8139,0.6147,0
Services,Moyenne,Kinshasa,4.1,21,2666216.0,79,2812.0,0.7983,0.1522,0.0495,0.3371,0.4636,1704450.0,961766.0,0.3607,251737.0,186689.0,144784.0,41905.0,68854.0,0.0606,0.45,0.65,1.4,3,3.0,3,0.648,35.0,100.0,1.7587,0.6169,0.6303,0.5625,0.001,0,0.6484,0.7061,0.7608,0.7953,0.4466,0.7155,14.0,0.6918,1,103.0,0.2495,6,469.0,-0.0087,66.0,6854.0,12,3.9,0.6671,0.3862,0.8806,0
Manufacture,Micro,Goma,0.5,2,3510078.0,79,3703.0,0.7601,0.235,0.0049,0.367,0.529,1935481.0,1574597.0,0.4486,441683.0,336012.0,284360.0,51652.0,119518.0,0.1894,0.71,5.58,1.38,1,22.0,0,0.9007,60.0,66.0,0.7861,0.65,0.5671,0.8734,0.1012,1,0.7527,0.8212,0.6789,0.2846,0.2864,0.5236,18.0,0.633,1,39.0,-0.0411,4,894.0,0.0272,125.0,2613.0,5,3.6,0.9584,0.6258,0.3668,0
Commerce,Moyenne,Lubumbashi,1.0,29,17214540.0,86,16681.0,0.6881,0.286,0.0259,0.4441,0.7809,14046324.0,3168216.0,0.184,602289.0,1614284.0,1368115.0,246169.0,488055.0,0.2208,1.14,1.56,0.88,1,10.0,3,0.3968,47.0,71.0,0.2291,0.8397,0.3525,0.5648,0.1448,0,0.6315,0.6801,0.6001,0.5544,0.5599,0.6743,6.0,0.4231,0,236.0,0.8251,3,432.0,-0.0876,49.0,71.0,5,3.4,0.216,0.3516,0.7379,1
Commerce,Micro,Kisangani,1.2,6,503596.0,71,591.0,0.8717,0.1233,0.005,0.2249,0.1717,435516.0,68080.0,0.1352,54706.0,46838.0,47335.0,-497.0,6620.0,0.1972,1.45,3.22,1.27,4,5.0,4,0.4743,39.0,35.0,0.5288,0.2059,0.705,0.7552,0.1987,0,0.5303,0.4093,0.3607,0.3535,0.1665,0.1114,4.0,0.5588,0,892.0,-0.1496,10,2556.0,-0.017,19.0,35.0,8,2.8,0.8331,0.7857,0.829,1
Commerce,Petite,Kinshasa,1.5,3,7227748.0,85,7086.0,0.7276,0.2568,0.0156,0.4044,0.306,6327374.0,900374.0,0.1246,342227.0,524390.0,510495.0,13895.0,46983.0,0.175,0.88,1.55,0.12,4,38.0,1,0.5168,25.0,84.0,1.2534,0.7241,0.5789,0.7592,0.0154,1,0.7371,0.6501,0.8657,0.3529,0.5732,0.5483,0.0,0.3089,0,1235.0,0.2394,11,71.0,0.0424,14.0,33.0,8,3.0,0.3616,0.7965,0.6399,1
Construction,Petite,Bukavu,4.2,13,79281800.0,72,91761.0,0.7982,0.1852,0.0165,0.3283,0.2292,70011668.0,9270132.0,0.1169,3633586.0,6870317.0,6493896.0,376421.0,1748233.0,0.5228,0.43,0.46,0.87,4,24.0,3,0.4778,58.0,63.0,0.6088,0.605,0.6749,0.5738,0.0003,1,0.4144,0.5927,0.6979,0.5162,0.1728,0.4334,10.0,0.339,0,87.0,0.5838,13,726.0,-0.0492,22.0,423.0,10,4.3,0.6356,0.6009,0.5383,1
Manufacture,Micro,Mbuji-Mayi,3.5,5,47627772.0,82,48402.0,0.773,0.2047,0.0223,0.3601,0.6784,33308168.0,14319604.0,0.3007,1228552.0,4012415.0,3233626.0,778789.0,519789.0,0.5513,1.85,4.24,1.24,1,3.0,4,0.7789,46.0,68.0,0.7832,0.8574,0.6172,0.8297,0.012,1,0.5086,0.5097,0.8571,0.1273,0.3126,0.5162,7.0,0.3653,0,628.0,0.2072,12,414.0,0.0567,23.0,239.0,11,4.3,0.8093,0.1678,0.3996,0
Services,Micro,Mbuji-Mayi,1.1,6,7953212.0,84,7890.0,0.7487,0.2315,0.0198,0.3855,0.4053,6020721.0,1932491.0,0.243,539842.0,692603.0,628330.0,64273.0,160352.0,0.5343,1.86,0.64,2.37,3,45.0,2,0.6851,79.0,73.0,0.6643,0.4707,0.5289,0.4608,0.0171,0,0.5712,0.8645,0.6884,0.6134,0.4454,0.4059,15.0,0.8769,1,1651.0,0.434,10,944.0,-0.2247,20.0,39.0,16,2.3,0.5554,0.595,0.5816,0
